Release,Emsmdb32.dll Version,ClientVersion,Set-CASMailbox -MAPIBlockOutlookVersions
Office XP RTM,10.0.2627.1,10.0.2627.1,10.0.2627
Office XP SP1,10.0.3416.0,10.0.3416.0,10.0.3416
Office XP SP2,10.0.4115.0,10.0.4115.0,10.0.4115
Office XP SP3,10.0.6515.0,10.0.6515.0,10.0.6515
Office 2003 RTM,11.0.5604.0,11.0.5604.0,11.0.5604
Office 2003 SP1,11.0.6352.0,11.0.6352.0,11.0.6352
Office 2003 SP2,11.0.6555.0,11.0.6555.0,11.0.6555
Office 2003 SP3,11.0.8161.0,11.0.8161.0,11.0.8161
,11.0.8303.0,11.0.8303.0,11.0.8303
Office 2007 RTM,12.0.4518.1014,12.0.4518.1014,12.0.4518
,12.0.4518.1014,12.0.4518.1014,12.0.4518
Office 2007 SP1,12.0.6211.1000,12.0.6211.1000,12.0.6211
Office 2007 SP2,12.0.6423.1000,12.0.6423.1000,12.0.6423
Office 2007 SP3,12.0.6529.5000,12.0.6529.5000,12.0.6529
Outlook 2007 x?,12.0.6557.5000,12.0.6557.5000,12.0.6557
Outlook 2007 x?,12.0.6562.5003,12.0.6562.5003,12.0.6562
Outlook 2007 x?,12.0.6606.1000,12.0.6606.1000,12.0.6606
Outlook 2010 x?,14.0.4760.1000,14.0.4760.1000,14.0.4760
Outlook 2010 x?,14.0.6025.1000,14.0.6025.1000,14.0.6025
Outlook 2010 x?,14.0.6109.5000,14.0.6109.5000,14.0.6109
Outlook 2010 x?,14.0.6114.5000,14.0.6114.5000,14.0.6114
Exchange?,3585.0.33123.1,3585.0.33123.1,3585.0.33123
MAPI,N/A,6.0.8190.0,6.0.8190
OWA,N/A,HTTP,N/A
